token_id,value_type,numeric_value,text_value,unit,display_format,status
CP01_DIAG__MODEL__FULL__N,integer,1030,,rows,integer,VERIFIED_REPLAY
CP01_DIAG__MODEL__FULL__P,integer,9,,columns,integer,VERIFIED_REPLAY
CP01_DIAG__MODEL__FULL__RANK,integer,9,,rank,integer,VERIFIED_REPLAY
CP01_DIAG__MODEL__FULL__DF_RESIDUAL,integer,1021,,df,integer,VERIFIED_REPLAY
CP01_DIAG__MODEL__FULL__RSS,float64,110413.15315711,,MPa2,fixed_8,VERIFIED_REPLAY
CP01_DIAG__MODEL__FULL__S2,float64,108.14216764,,MPa2,fixed_8,VERIFIED_REPLAY
CP01_DIAG__MODEL__FULL__S,float64,10.39914264,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__MODEL__FULL__R2,float64,0.61551987,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__MODEL__FULL__RMSE_IN_SAMPLE,float64,10.35360981,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__MODEL__FULL__MAE_IN_SAMPLE,float64,8.21434371,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__KOENKER__FULL__R2_AUX,float64,0.13320025,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__KOENKER__FULL__LM,float64,137.19625978,,chi_square,fixed_8,VERIFIED_REPLAY
CP01_DIAG__KOENKER__FULL__DF,integer,8,,df,integer,VERIFIED_REPLAY
CP01_DIAG__KOENKER__FULL__P_ASYMPTOTIC,float64,9.08079028e-26,,p_value,scientific_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B01__COUNT,integer,103,,rows,integer,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B01__BOUNDARY_LO,float64,10.45576593,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B01__BOUNDARY_HI,float64,20.43665761,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B01__FITTED_MIN,float64,10.45576593,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B01__FITTED_MAX,float64,20.43201618,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B01__MEAN_RESIDUAL_MPA,float64,-1.97565501,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B01__RMS_RESIDUAL_MPA,float64,7.82705550,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B02__COUNT,integer,103,,rows,integer,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B02__BOUNDARY_LO,float64,20.43665761,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B02__BOUNDARY_HI,float64,24.51951790,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B02__FITTED_MIN,float64,20.43717333,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B02__FITTED_MAX,float64,24.49313620,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B02__MEAN_RESIDUAL_MPA,float64,-1.81343632,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B02__RMS_RESIDUAL_MPA,float64,6.88173857,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B03__COUNT,integer,103,,rows,integer,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B03__BOUNDARY_LO,float64,24.51951790,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B03__BOUNDARY_HI,float64,27.57840123,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B03__FITTED_MIN,float64,24.52611332,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B03__FITTED_MAX,float64,27.52926104,,MPa,fixed_8,VERIFIED_REPLAY
