token_id,value_type,numeric_value,text_value,unit,display_format,status
CP01_DIAG__RESIDUAL_BIN__B03__MEAN_RESIDUAL_MPA,float64,-1.89799521,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B03__RMS_RESIDUAL_MPA,float64,8.24175047,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B04__COUNT,integer,103,,rows,integer,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B04__BOUNDARY_LO,float64,27.57840123,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B04__BOUNDARY_HI,float64,30.87341337,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B04__FITTED_MIN,float64,27.59946131,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B04__FITTED_MAX,float64,30.86346527,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B04__MEAN_RESIDUAL_MPA,float64,1.94431256,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B04__RMS_RESIDUAL_MPA,float64,8.56658197,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B05__COUNT,integer,103,,rows,integer,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B05__BOUNDARY_LO,float64,30.87341337,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B05__BOUNDARY_HI,float64,33.45769999,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B05__FITTED_MIN,float64,30.88004543,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B05__FITTED_MAX,float64,33.44137108,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B05__MEAN_RESIDUAL_MPA,float64,-0.26101532,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B05__RMS_RESIDUAL_MPA,float64,9.35483830,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B06__COUNT,integer,103,,rows,integer,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B06__BOUNDARY_LO,float64,33.45769999,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B06__BOUNDARY_HI,float64,36.58067880,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B06__FITTED_MIN,float64,33.47402889,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B06__FITTED_MAX,float64,36.57053778,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B06__MEAN_RESIDUAL_MPA,float64,1.94444729,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B06__RMS_RESIDUAL_MPA,float64,8.84778200,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B07__COUNT,integer,103,,rows,integer,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B07__BOUNDARY_LO,float64,36.58067880,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B07__BOUNDARY_HI,float64,40.71841577,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B07__FITTED_MIN,float64,36.59589033,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B07__FITTED_MAX,float64,40.70504063,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B07__MEAN_RESIDUAL_MPA,float64,3.88990642,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B07__RMS_RESIDUAL_MPA,float64,10.01552657,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B08__COUNT,integer,103,,rows,integer,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B08__BOUNDARY_LO,float64,40.71841577,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B08__BOUNDARY_HI,float64,48.81169039,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B08__FITTED_MIN,float64,40.74962442,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B08__FITTED_MAX,float64,48.80383879,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B08__MEAN_RESIDUAL_MPA,float64,2.18821782,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B08__RMS_RESIDUAL_MPA,float64,13.08116204,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B09__COUNT,integer,104,,rows,integer,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B09__BOUNDARY_LO,float64,48.81169039,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B09__BOUNDARY_HI,float64,54.55747111,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B09__FITTED_MIN,float64,48.84309681,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B09__FITTED_MAX,float64,54.55747111,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B09__MEAN_RESIDUAL_MPA,float64,-2.39184153,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B09__RMS_RESIDUAL_MPA,float64,13.76121955,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B10__COUNT,integer,102,,rows,integer,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B10__BOUNDARY_LO,float64,54.55747111,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B10__BOUNDARY_HI,float64,78.99087586,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B10__FITTED_MIN,float64,54.64314426,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B10__FITTED_MAX,float64,78.99087586,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B10__MEAN_RESIDUAL_MPA,float64,-1.61944169,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__RESIDUAL_BIN__B10__RMS_RESIDUAL_MPA,float64,13.98223909,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__INTERCEPT__ESTIMATE,float64,-23.33121358,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__INTERCEPT__SE_GAUSSIAN,float64,26.58550397,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__INTERCEPT__SE_HC3,float64,29.64633724,,MPa,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__INTERCEPT__RATIO_TO_GAUSSIAN,float64,1.11513166,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__CEMENT__ESTIMATE,float64,0.11980433,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__CEMENT__SE_GAUSSIAN,float64,0.00848902,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__CEMENT__SE_HC3,float64,0.00931251,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__CEMENT__RATIO_TO_GAUSSIAN,float64,1.09700635,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__SLAG__ESTIMATE,float64,0.10386581,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__SLAG__SE_GAUSSIAN,float64,0.01013580,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__SLAG__SE_HC3,float64,0.01152777,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__SLAG__RATIO_TO_GAUSSIAN,float64,1.13733172,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__FLY_ASH__ESTIMATE,float64,0.08793432,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__FLY_ASH__SE_GAUSSIAN,float64,0.01258332,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__FLY_ASH__SE_HC3,float64,0.01314036,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__FLY_ASH__RATIO_TO_GAUSSIAN,float64,1.04426820,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__WATER__ESTIMATE,float64,-0.14991842,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__WATER__SE_GAUSSIAN,float64,0.04017704,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__WATER__SE_HC3,float64,0.04573796,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__WATER__RATIO_TO_GAUSSIAN,float64,1.13841054,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__SUPERPLASTICIZER__ESTIMATE,float64,0.29222460,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__SUPERPLASTICIZER__SE_GAUSSIAN,float64,0.09342408,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__SUPERPLASTICIZER__SE_HC3,float64,0.10539051,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__SUPERPLASTICIZER__RATIO_TO_GAUSSIAN,float64,1.12808722,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__COARSE_AGGREGATE__ESTIMATE,float64,0.01808621,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__COARSE_AGGREGATE__SE_GAUSSIAN,float64,0.00939224,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__COARSE_AGGREGATE__SE_HC3,float64,0.01032721,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__COARSE_AGGREGATE__RATIO_TO_GAUSSIAN,float64,1.09954753,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__FINE_AGGREGATE__ESTIMATE,float64,0.02019035,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__FINE_AGGREGATE__SE_GAUSSIAN,float64,0.01070168,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__FINE_AGGREGATE__SE_HC3,float64,0.01173577,,MPa_per_kg_per_m3,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__FINE_AGGREGATE__RATIO_TO_GAUSSIAN,float64,1.09662839,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__AGE__ESTIMATE,float64,0.11422207,,MPa_per_day,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__AGE__SE_GAUSSIAN,float64,0.00542715,,MPa_per_day,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__AGE__SE_HC3,float64,0.00856523,,MPa_per_day,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__FULL__AGE__RATIO_TO_GAUSSIAN,float64,1.57821939,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__BLOCK_SFP__W,float64,89.67343789,,chi_square,fixed_8,VERIFIED_REPLAY
CP01_DIAG__HC3__BLOCK_SFP__DF,integer,3,,df,integer,VERIFIED_REPLAY
CP01_DIAG__HC3__BLOCK_SFP__P_ASYMPTOTIC,float64,2.57452367e-19,,p_value,scientific_8,VERIFIED_REPLAY
CP01_DIAG__CONDITION__FULL__KAPPA2_RAW,float64,106074.57306674,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__CONDITION__FULL__KAPPA2_SCALED,float64,8.71177872,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__CONDITION__FULL__KAPPA2_XTX_SCALED,float64,75.89508844,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__CONDITION__REDUCED__KAPPA2_RAW,float64,38120.36047688,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__CONDITION__REDUCED__KAPPA2_SCALED,float64,2.22352417,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__CONDITION__REDUCED__KAPPA2_XTX_SCALED,float64,4.94405974,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__CONDITION__LOG_AGE__KAPPA2_RAW,float64,106093.23801095,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__CONDITION__LOG_AGE__KAPPA2_SCALED,float64,8.54118981,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__CONDITION__LOG_AGE__KAPPA2_XTX_SCALED,float64,72.95192334,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__VIF__FULL__CEMENT__VALUE,float64,7.48894379,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__VIF__FULL__SLAG__VALUE,float64,7.27696310,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__VIF__FULL__FLY_ASH__VALUE,float64,6.17063432,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__VIF__FULL__WATER__VALUE,float64,7.00395670,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__VIF__FULL__SUPERPLASTICIZER__VALUE,float64,2.96377575,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__VIF__FULL__COARSE_AGGREGATE__VALUE,float64,5.07461700,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__VIF__FULL__FINE_AGGREGATE__VALUE,float64,7.00508141,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__VIF__FULL__AGE__VALUE,float64,1.11836652,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__MEAN_LEVERAGE_P_OVER_N,float64,0.00873786,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__THRESHOLD_H_2P_OVER_N,float64,0.01747573,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__THRESHOLD_H_3P_OVER_N,float64,0.02621359,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__THRESHOLD_COOK_4_OVER_N,float64,0.00388350,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__COUNT_H_GT_2P_OVER_N,integer,80,,dimensionless,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__COUNT_H_GT_3P_OVER_N,integer,40,,dimensionless,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__COUNT_ABS_T_GT_2,integer,51,,dimensionless,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__COUNT_ABS_T_GT_3,integer,2,,dimensionless,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__COUNT_COOK_GT_4_OVER_N,integer,79,,dimensionless,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__COUNT_COOK_GT_1,integer,0,,dimensionless,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R01__ROW_ID,text,,CP01-R0067,row_id,text,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R01__SOURCE_RECORD,integer,67,,record,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R01__SOURCE_LINE,integer,68,,line,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R01__LEVERAGE,float64,0.04107458,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R01__T_DELETED,float64,-1.77007287,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R01__COOK,float64,0.01488064,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R02__ROW_ID,text,,CP01-R0229,row_id,text,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R02__SOURCE_RECORD,integer,229,,record,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R02__SOURCE_LINE,integer,230,,line,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R02__LEVERAGE,float64,0.03725630,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R02__T_DELETED,float64,-0.59455341,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R02__COOK,float64,0.00152091,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R03__ROW_ID,text,,CP01-R0228,row_id,text,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R03__SOURCE_RECORD,integer,228,,record,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R03__SOURCE_LINE,integer,229,,line,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R03__LEVERAGE,float64,0.03536432,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R03__T_DELETED,float64,-0.72658082,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R03__COOK,float64,0.00215143,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R04__ROW_ID,text,,CP01-R0227,row_id,text,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R04__SOURCE_RECORD,integer,227,,record,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R04__SOURCE_LINE,integer,228,,line,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R04__LEVERAGE,float64,0.03470942,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R04__T_DELETED,float64,-1.25653854,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R04__COOK,float64,0.00630452,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R05__ROW_ID,text,,CP01-R0226,row_id,text,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R05__SOURCE_RECORD,integer,226,,record,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R05__SOURCE_LINE,integer,227,,line,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R05__LEVERAGE,float64,0.03454212,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R05__T_DELETED,float64,-1.72956349,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_LEVERAGE__R05__COOK,float64,0.01186861,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R01__ROW_ID,text,,CP01-R0382,row_id,text,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R01__SOURCE_RECORD,integer,382,,record,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R01__SOURCE_LINE,integer,383,,line,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R01__LEVERAGE,float64,0.01020119,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R01__T_DELETED,float64,3.34637213,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R01__COOK,float64,0.01269677,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R02__ROW_ID,text,,CP01-R0384,row_id,text,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R02__SOURCE_RECORD,integer,384,,record,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R02__SOURCE_LINE,integer,385,,line,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R02__LEVERAGE,float64,0.00714528,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R02__T_DELETED,float64,3.16631259,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R02__COOK,float64,0.00794651,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R03__ROW_ID,text,,CP01-R0115,row_id,text,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R03__SOURCE_RECORD,integer,115,,record,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R03__SOURCE_LINE,integer,116,,line,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R03__LEVERAGE,float64,0.00537549,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R03__T_DELETED,float64,-2.77190300,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R03__COOK,float64,0.00458394,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R04__ROW_ID,text,,CP01-R0057,row_id,text,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R04__SOURCE_RECORD,integer,57,,record,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R04__SOURCE_LINE,integer,58,,line,integer,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R04__LEVERAGE,float64,0.03136960,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R04__T_DELETED,float64,-2.74500556,,dimensionless,fixed_8,VERIFIED_REPLAY
CP01_DIAG__INFLUENCE__TOP_ABS_T__R04__COOK,float64,0.02694163,,dimensionless,fixed_8,VERIFIED_REPLAY
