model_id,bin_index,count,boundary_lo,boundary_hi,fitted_min,fitted_max,mean_residual_mpa,rms_residual_mpa
FULL_ADDITIVE_RAW,1,103,10.45576593,20.43665761,10.45576593,20.43201618,-1.97565501,7.82705550
FULL_ADDITIVE_RAW,2,103,20.43665761,24.51951790,20.43717333,24.49313620,-1.81343632,6.88173857
FULL_ADDITIVE_RAW,3,103,24.51951790,27.57840123,24.52611332,27.52926104,-1.89799521,8.24175047
FULL_ADDITIVE_RAW,4,103,27.57840123,30.87341337,27.59946131,30.86346527,1.94431256,8.56658197
FULL_ADDITIVE_RAW,5,103,30.87341337,33.45769999,30.88004543,33.44137108,-0.26101532,9.35483830
FULL_ADDITIVE_RAW,6,103,33.45769999,36.58067880,33.47402889,36.57053778,1.94444729,8.84778200
FULL_ADDITIVE_RAW,7,103,36.58067880,40.71841577,36.59589033,40.70504063,3.88990642,10.01552657
FULL_ADDITIVE_RAW,8,103,40.71841577,48.81169039,40.74962442,48.80383879,2.18821782,13.08116204
FULL_ADDITIVE_RAW,9,104,48.81169039,54.55747111,48.84309681,54.55747111,-2.39184153,13.76121955
FULL_ADDITIVE_RAW,10,102,54.55747111,78.99087586,54.64314426,78.99087586,-1.61944169,13.98223909
