metric,value
n,20
prior,"Beta(2,2)"
alpha,0.0500000000
nominal_probability,0.9500000000
grid,0.01:0.01:0.99
grid_replications_per_p,80000
prior_joint_replications,500000
bayes_grid_min_coverage,0.0000000000
bayes_grid_min_at_p,0.01
bayes_grid_max_coverage,0.9783319525
bayes_grid_max_at_p_first,0.43
clopper_pearson_grid_min_coverage,0.9586105347
clopper_pearson_grid_min_at_p_first,0.50
bayes_prior_average_exact,0.950000000000
bayes_prior_average_monte_carlo,0.950392000000
clopper_pearson_prior_average_exact,0.973876917134
clopper_pearson_prior_average_monte_carlo,0.974138000000
beta_binomial_predictive_sum,1.000000000000
max_posterior_mass_error,0.000000000000000
max_grid_bayes_mc_error,0.002279528245
max_grid_cp_mc_error,0.001611006822
