contrast_id,term_id,delta,delta_unit,estimate_MPa,se_gaussian,t,df,p_raw,ci95_point_lo,ci95_point_hi,p_bonferroni_m8,ci95_bonf_lo,ci95_bonf_hi,se_HC3,z_HC3,p_HC3,ci95_HC3_lo,ci95_HC3_hi,p_HC3_bonferroni_m8,ci95_HC3_bonf_lo,ci95_HC3_bonf_hi
CMT10,CEMENT,10.00000000,kg_per_m3,1.19804334,0.08489017,14.11286339,1021,1.89798900e-41,1.03146420,1.36462249,1.51839120e-40,0.96543959,1.43064710,0.09312505,12.86488757,7.09450782e-38,1.01552159,1.38056510,5.67560626e-37,0.94340511,1.45268158
SLG10,SLAG,10.00000000,kg_per_m3,1.03865809,0.10135802,10.24741906,1021,1.59899304e-23,0.83976425,1.23755193,1.27919443e-22,0.76093152,1.31638466,0.11527769,9.01005295,2.05957033e-19,0.81271797,1.26459821,1.64765626e-18,0.72344637,1.35386981
FLY10,FLY_ASH,10.00000000,kg_per_m3,0.87934322,0.12583316,6.98816754,1021,5.01964754e-12,0.63242204,1.12626439,4.01571803e-11,0.53455340,1.22413303,0.13140357,6.69192794,2.20249332e-11,0.62179695,1.13688948,1.76199466e-10,0.52003740,1.23864903
WAT10,WATER,10.00000000,kg_per_m3,-1.49918419,0.40177036,-3.73144550,1021,0.00020088,-2.28757421,-0.71079417,0.00160704,-2.60005717,-0.39831121,0.45737961,-3.27776789,0.00104631,-2.39563175,-0.60273663,0.00837051,-2.74982871,-0.24853967
SP01,SUPERPLASTICIZER,1.00000000,kg_per_m3,0.29222460,0.09342408,3.12793655,1021,0.00181024,0.10889944,0.47554975,0.01448193,0.03623745,0.54821174,0.10539051,2.77277901,0.00555799,0.08566299,0.49878620,0.04446388,0.00404807,0.58040112
CRS100,COARSE_AGGREGATE,100.00000000,kg_per_m3,1.80862148,0.93922361,1.92565590,1021,0.05442481,-0.03440777,3.65165074,0.43539851,-0.76490310,4.38214607,1.03272100,1.75131665,0.07989138,-0.21547448,3.83271745,0.63913105,-1.01521858,4.63246155
FIN100,FINE_AGGREGATE,100.00000000,kg_per_m3,2.01903511,1.07016850,1.88665159,1021,0.05949075,-0.08094602,4.11901624,0.47592604,-0.91328572,4.95135593,1.17357715,1.72041105,0.08535775,-0.28113385,4.31920406,0.68286200,-1.18995763,5.22802784
AGE07,AGE,7.00000000,day,0.79955448,0.03799004,21.04642624,1021,5.78249124e-82,0.72500700,0.87410195,4.62599299e-81,0.69545968,0.90364927,0.05995661,13.33555164,1.43787142e-40,0.68204168,0.91706728,1.15029714e-39,0.63561099,0.96349796
