model_id,fit_subset,n_fit,p,rank,df,rss,s2,s,r2,kappa2_scaled,loocv_press,loocv_mse,loocv_rmse_mpa,loocv_mae_mpa,loppo_press,loppo_mse,loppo_rmse_mpa,loppo_mae_mpa
FULL_ADDITIVE_RAW,ALL_ROWS,1030,9,9,1021,110413.15315711,108.14216764,10.39914264,0.61551987,8.71177872,112899.07992414,109.61075721,10.46951561,8.29601158,113198.60553926,109.90155878,10.48339443,8.30392410
REDUCED_NO_SLG_FLY_SP,ALL_ROWS,1030,6,6,1024,123782.47881340,120.88132697,10.99460445,0.56896527,2.22352417,125680.06908423,122.01948455,11.04624301,8.75733850,125914.02027621,122.24662163,11.05651942,8.76347931
FULL_ADDITIVE_LOG_AGE_28,ALL_ROWS,1030,9,9,1021,52119.82519362,51.04782095,7.14477578,0.81850861,8.54118981,53224.57720879,51.67434680,7.18848710,5.55131323,53324.24759644,51.77111417,7.19521467,5.55641551
FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,907,9,9,898,55945.99928758,62.30066736,7.89307718,0.76471227,9.47005812,NA,NA,NA,NA,NA,NA,NA,NA
