role,file_id,filename,local_path,file_metadata_url,canonical_api_download_url,actual_retrieval_url,retrieved_at_utc,publisher_mime_type,transport_content_type,encoding,newlines,bytes,sha256
aggregate_data,2765112,nest_propensity.csv,raw/nest_propensity.csv,https://datadryad.org/api/v2/files/2765112,https://datadryad.org/api/v2/files/2765112/download,https://datadryad.org/downloads/file_stream/2765112,2026-08-30T20:22:29Z,text/csv,application/octet-stream,UTF-8_ASCII-subset_no-BOM,CRLF,285,8790b4dfa29a5b39228e758e40e02cbb48612c38b8440020aa108c85ca0673c4
data_dictionary,2765118,README.md,raw/README.md,https://datadryad.org/api/v2/files/2765118,https://datadryad.org/api/v2/files/2765118/download,https://datadryad.org/downloads/file_stream/2765118,2026-08-30T20:22:31Z,text/markdown,application/octet-stream,UTF-8_ASCII-subset_no-BOM,LF,4139,43a53f9a451a4030b8d3edb2a7517c48863d8ef23d7ae4986d15c20d7f8f5459
