ordinal,component_id,url,last_modified_utc,bytes,sha256
0,index,https://online.stat.psu.edu/stat415/,2026-08-19T19:23:11Z,76643,610d1c54a29c501117de758740f037d7d7186729051b05205e7dbcf633acecf6
1,Lesson00,https://online.stat.psu.edu/stat415/Lesson00,2026-08-19T19:23:11Z,105627,81d68a37bbe2ce635cd6d79769ce99e5ba29ea3c15f554f9db6913615045807f
2,Lesson01,https://online.stat.psu.edu/stat415/Lesson01,2026-08-19T19:23:11Z,84567,6b3bf5ba7b5cc7960fb4eddec931088f51f588a879444630a83238767fbfce85
3,Lesson02,https://online.stat.psu.edu/stat415/Lesson02,2026-08-19T19:23:11Z,93418,29890184a4f2ba91fcd10425e0a941e7eab0f3ac9ab158b2ba469d0744ec69e5
4,Lesson03,https://online.stat.psu.edu/stat415/Lesson03,2026-08-19T19:23:11Z,118925,26dd4efe75abc879a5316c215eaedbfe713c77e742898eb86e7f3d88cb0c04c9
5,Lesson04,https://online.stat.psu.edu/stat415/Lesson04,2026-08-19T19:23:11Z,106614,9fe5790e577c6ce0b808c92683aea45442187f80f74d540b20bd4514bdefc060
6,Lesson05,https://online.stat.psu.edu/stat415/Lesson05,2026-08-19T19:23:11Z,190308,dac6ce7c81922118cb9c03b47c2229cf2fa505db804aa45d7960dd166ef0ef8d
7,Lesson06,https://online.stat.psu.edu/stat415/Lesson06,2026-08-19T19:23:11Z,77034,abac3002d3f325814503b40a67277a5c9eca8ac6b60e4907bbce15eb0d6b5d06
8,Lesson07,https://online.stat.psu.edu/stat415/Lesson07,2026-08-19T19:23:11Z,105026,2351d07b45be5be79373d0e641a38703b2554c729c250537791c271bce85018c
9,Lesson08,https://online.stat.psu.edu/stat415/Lesson08,2026-08-19T19:23:11Z,135460,7d2d365cc7300a2ef54edf82b79fca07899a8e8dcc5fb437237cbaf4501f6953
10,Lesson09,https://online.stat.psu.edu/stat415/Lesson09,2026-08-19T19:23:11Z,114901,87d1401304f866ae3cff6b182dbf92a64b43e92c1c024e684b895187a9e61319
11,Lesson10,https://online.stat.psu.edu/stat415/Lesson10,2026-08-19T19:23:11Z,152767,0cb938a114d27b03ef3196c24a2e87b79a1a466b9dcbe370e6e6553947446bf5
12,Lesson11,https://online.stat.psu.edu/stat415/Lesson11,2026-08-19T19:23:11Z,99359,4a007ab235242a27f000a8e8865fab06d2b8507a2e2e7400faf6112ce83a7c32
13,Lesson12,https://online.stat.psu.edu/stat415/Lesson12,2026-08-19T19:23:11Z,144220,89569622b8fea9bcfc17d51717002ab9840b44e6d80a34ee476d94acd45b515d
