upload_order,filename,bytes,sha256,role,lineage,media_type,primary_reader,source_path
11,41_THROUGH_LESSON12_VISUAL_QA_RECEIPT.json,21702,02583cecceba1db5f8a9f7561f567ebd98585c441a6e4cae5ba1ef92f8710d6e,preserved-prior-html-visual-qa,preserved-zenodo-record-22105616,application/json,False,release/41_THROUGH_LESSON12_VISUAL_QA_RECEIPT.json
12,50_THROUGH_LESSON12_RELEASE_MANIFEST.csv,854,92fb966e8e2d6df14810571bdb171eafa2305e9c0241f7a87f5c3c85545c1528,preserved-prior-manifest,preserved-zenodo-record-22105616,text/csv,False,release/50_THROUGH_LESSON12_RELEASE_MANIFEST.csv
13,SHA256SUMS_THROUGH_LESSON12.txt,750,ed97539fb0dd796edcc287cae67920acb04e62bb5e65cd0775e8afbfb7d3d663,preserved-prior-checksums,preserved-zenodo-record-22105616,text/plain,False,release/SHA256SUMS_THROUGH_LESSON12.txt
14,60_THROUGH_LESSON12_RELEASE_ROOT_RECEIPT.json,4763,d9306b66b26a5faf0b90cfc7c1266001cba9a4159cef1394692fb07b6cc7ac49,preserved-prior-release-root,preserved-zenodo-record-22105616,application/json,False,release/60_THROUGH_LESSON12_RELEASE_ROOT_RECEIPT.json
15,50_COMPLETE_CONSOLIDATED_READERS_FULL_UNION_MANIFEST.csv,3655,a55022c0c3f601f6bb25d9b0f41a761f75132f681d869412c7e4cb09a643d9fd,full-union-substantive-manifest,current-consolidated-readers,text/csv,False,release/50_COMPLETE_CONSOLIDATED_READERS_FULL_UNION_MANIFEST.csv
16,SHA256SUMS_COMPLETE_CONSOLIDATED_READERS.txt,1661,1b9fdbc6e88b50983488e41eb3df01ea38853f243a319375cfa73bd403aff03e,full-union-sha256-checksums,current-consolidated-readers,text/plain,False,release/SHA256SUMS_COMPLETE_CONSOLIDATED_READERS.txt
17,60_COMPLETE_CONSOLIDATED_READERS_FULL_UNION_ROOT_RECEIPT.json,11484,a88abbdaac65574089d155613e422ec91896c49ae842b3eaab7935037727260a,full-union-release-root-receipt,current-consolidated-readers,application/json,False,release/60_COMPLETE_CONSOLIDATED_READERS_FULL_UNION_ROOT_RECEIPT.json
18,01_RANDOM_COMPLETENESS_DONOR_OFFLINE_READER.zip,610303,45487bfcf873f4fd282c92e5b9f7c3453701f3aafa90de9bfc1c69f99ce41a5b,standalone-complete-random-completeness-offline-reader,current-random-completeness-donor,application/zip,False,release/01_RANDOM_COMPLETENESS_DONOR_OFFLINE_READER.zip
19,11_RANDOM_COMPLETENESS_DONOR_SOURCE_BACKEND.zip,741277,485e5264c694284de2eea5511cbb7955a620a042e9caac354440b3a2a76a773b,compact-resumable-random-completeness-source-backend,current-random-completeness-donor,application/zip,False,release/11_RANDOM_COMPLETENESS_DONOR_SOURCE_BACKEND.zip
20,21_RANDOM_COMPLETENESS_DONOR_RELEASE_NOTES.md,1249,d6ec13b8d1303a95d25695a246d335411e9a7d6799a624afb94c143bd0777256,donor-scope-status-rights-provenance,current-random-completeness-donor,text/markdown,False,release/21_RANDOM_COMPLETENESS_DONOR_RELEASE_NOTES.md
21,31_RANDOM_COMPLETENESS_DONOR_LICENSE_AND_ATTRIBUTION.md,2197,d6aad0f8d75ef1083b5fc7d7dc3c50282e093d24e9ea45f75466eb5cc7c8b66b,donor-component-rights-and-attribution,current-random-completeness-donor,text/markdown,False,release/31_RANDOM_COMPLETENESS_DONOR_LICENSE_AND_ATTRIBUTION.md
22,41_RANDOM_COMPLETENESS_DONOR_STATIC_QA_EVIDENCE.zip,9581,dfb1bd1f1c7c49918a7d3cb670895750173d23302270c989d5cad9d4f1bbc79a,compact-browser-free-static-qa-evidence,current-random-completeness-donor,application/zip,False,release/41_RANDOM_COMPLETENESS_DONOR_STATIC_QA_EVIDENCE.zip
23,70_C140_RANDOM_COMPLETENESS_FULL_UNION_MANIFEST.csv,5870,3ea8a737dfaa1bb5d44e33d0f340bd001d1c2f7daf82a167d8cc22d961e8d663,cumulative-union-substantive-manifest,c140-random-completeness-cumulative-union,text/csv,False,release/70_C140_RANDOM_COMPLETENESS_FULL_UNION_MANIFEST.csv
24,SHA256SUMS_C140_RANDOM_COMPLETENESS.txt,2598,7f18459f7f60a4aac7b6ec8fa7563a0f5da31904ef4bcdf02125f620b7d52d32,cumulative-union-sha256-checksums,c140-random-completeness-cumulative-union,text/plain,False,release/SHA256SUMS_C140_RANDOM_COMPLETENESS.txt
25,80_C140_RANDOM_COMPLETENESS_FULL_UNION_ROOT_RECEIPT.json,16724,efb58a21302c56c0c5f4d1936296dc42cf43dce36135b3bfc61e3d5e22bede9b,cumulative-union-release-root-receipt,c140-random-completeness-cumulative-union,application/json,False,release/80_C140_RANDOM_COMPLETENESS_FULL_UNION_ROOT_RECEIPT.json
26,02_C140_COMPANION_C1_OFFLINE_READER.zip,731105,6d2a30c6fda4ab3af9284776d36eedfd8adfcd17b9981e543a387219f86f27a3,partial-c1-offline-html-reader,c140-original-companion-c1,application/zip,False,release/02_C140_COMPANION_C1_OFFLINE_READER.zip
27,12_C140_COMPANION_C1_SOURCE_BACKEND.zip,159134,713146e6234438c761a60e03325ad53c0b4e11dbc4cdee0ad28c258f81ff6695,partial-c1-resumable-source-backend,c140-original-companion-c1,application/zip,False,release/12_C140_COMPANION_C1_SOURCE_BACKEND.zip
28,22_C140_COMPANION_C1_RELEASE_NOTES.md,1317,5c9a1f8d2b3210df4659b06ce823e0e8d0b4a713967d57e6969cc005695cfee2,partial-c1-scope-status-provenance,c140-original-companion-c1,text/markdown,False,release/22_C140_COMPANION_C1_RELEASE_NOTES.md
29,32_C140_COMPANION_C1_LICENSE.md,642,f8913e62477ebb57d3370abb52469ac54292e2b2053db9a41fa3cb3cb02967f2,partial-c1-component-rights,c140-original-companion-c1,text/markdown,False,release/32_C140_COMPANION_C1_LICENSE.md
30,42_C140_COMPANION_C1_STATIC_QA_EVIDENCE.zip,17633,0958d5b344032d6be5a837c11dc4710ce8eaa6571d94eee4fa18f2af3b6cdf5e,partial-c1-browser-free-static-qa-evidence,c140-original-companion-c1,application/zip,False,release/42_C140_COMPANION_C1_STATIC_QA_EVIDENCE.zip
31,90_C140_COMPANION_C1_FULL_UNION_MANIFEST.csv,7914,379cd5240efcc77ceb09a48a9f313c24bff7a00ea3557196eca1f31541e14b69,c1-cumulative-union-manifest,c140-original-companion-c1-union,text/csv,False,release/90_C140_COMPANION_C1_FULL_UNION_MANIFEST.csv
32,SHA256SUMS_C140_COMPANION_C1.txt,3462,4bccb946071560ba39f3c4926aabbd508f66c31a89ec75deefa5469678c04495,c1-cumulative-union-checksums,c140-original-companion-c1-union,text/plain,False,release/SHA256SUMS_C140_COMPANION_C1.txt
33,91_C140_COMPANION_C1_FULL_UNION_ROOT_RECEIPT.json,15658,5b48916a30337ba984b368176f75c28c1bf326f849c4f2c500a4b0cc7f099fcd,c1-cumulative-union-root-receipt,c140-original-companion-c1-union,application/json,False,release/91_C140_COMPANION_C1_FULL_UNION_ROOT_RECEIPT.json
34,03_C140_COMPANION_C2_OFFLINE_READER.zip,795661,4ed449eaf00d66e74a59b8f28650374952d840495c3d9aeaab2abd2240d405fb,partial-c2-offline-html-reader,c140-original-companion-c2,application/zip,False,release/03_C140_COMPANION_C2_OFFLINE_READER.zip
35,13_C140_COMPANION_C2_SOURCE_BACKEND.zip,232410,a8bec897dd485d905506cd0d084d92dd3bbd068e6f383be42cfae5afedd96b11,partial-c2-resumable-source-backend,c140-original-companion-c2,application/zip,False,release/13_C140_COMPANION_C2_SOURCE_BACKEND.zip
36,23_C140_COMPANION_C2_RELEASE_NOTES.md,1275,9b28a7d0eebe1bd8ada757fc632c86433ac3436f64d10161f75337cea8f0dde6,partial-c2-scope-status-provenance,c140-original-companion-c2,text/markdown,False,release/23_C140_COMPANION_C2_RELEASE_NOTES.md
37,33_C140_COMPANION_C2_LICENSE.md,642,f8913e62477ebb57d3370abb52469ac54292e2b2053db9a41fa3cb3cb02967f2,partial-c2-component-rights,c140-original-companion-c2,text/markdown,False,release/33_C140_COMPANION_C2_LICENSE.md
38,43_C140_COMPANION_C2_STATIC_QA_EVIDENCE.zip,10717,399e5f37785a880df22c4b25c5429d00339d396fdfc199421f4469d4cc26c59e,partial-c2-browser-free-static-qa-evidence,c140-original-companion-c2,application/zip,False,release/43_C140_COMPANION_C2_STATIC_QA_EVIDENCE.zip
39,92_C140_COMPANION_C2_FULL_UNION_MANIFEST.csv,9871,da17b07bd49bf67a4c664bb6289655103f6484d2cb6a45e4d49af4e314256129,c2-cumulative-union-manifest,c140-original-companion-c2-union,text/csv,False,release/92_C140_COMPANION_C2_FULL_UNION_MANIFEST.csv
40,SHA256SUMS_C140_COMPANION_C2.txt,4312,0f5fc80d0edb5436cbd95bd00485b92966d5e64e3dd2515c1a64dcaa5e4e9e83,c2-cumulative-union-checksums,c140-original-companion-c2-union,text/plain,False,release/SHA256SUMS_C140_COMPANION_C2.txt
41,93_C140_COMPANION_C2_FULL_UNION_ROOT_RECEIPT.json,19221,67c5b9ceb1b761adce9f4842f84af66013dd13895cc7967ea222f270e64b1f51,c2-cumulative-union-root-receipt,c140-original-companion-c2-union,application/json,False,release/93_C140_COMPANION_C2_FULL_UNION_ROOT_RECEIPT.json
42,04_C140_COMPANION_C3_OFFLINE_READER.zip,851608,4dfb8f0a18c45355d8da58c12700016662751d7411afe6f151de61fc2fc6a850,partial-c3-offline-html-reader,c140-original-companion-c3,application/zip,False,release/04_C140_COMPANION_C3_OFFLINE_READER.zip
43,14_C140_COMPANION_C3_SOURCE_BACKEND.zip,304324,8f47959548601a5d24caac321c70de14c815abb7bcff2b4eb894957ca1ec0e7d,partial-c3-resumable-source-backend,c140-original-companion-c3,application/zip,False,release/14_C140_COMPANION_C3_SOURCE_BACKEND.zip
44,24_C140_COMPANION_C3_RELEASE_NOTES.md,1535,e747bc107c6950a4dd745469a717a1503537677cb6e3e3a2bdd427e320f5d7fe,partial-c3-scope-status-provenance,c140-original-companion-c3,text/markdown,False,release/24_C140_COMPANION_C3_RELEASE_NOTES.md
45,34_C140_COMPANION_C3_LICENSE.md,642,f8913e62477ebb57d3370abb52469ac54292e2b2053db9a41fa3cb3cb02967f2,partial-c3-component-rights,c140-original-companion-c3,text/markdown,False,release/34_C140_COMPANION_C3_LICENSE.md
46,44_C140_COMPANION_C3_STATIC_QA_EVIDENCE.zip,28092,6bfd886cc4a10b7d91e8eb99d6db6a2acb1e464e43579f3b122c69ca8d9001a1,partial-c3-browser-free-static-qa-evidence,c140-original-companion-c3,application/zip,False,release/44_C140_COMPANION_C3_STATIC_QA_EVIDENCE.zip
47,94_C140_COMPANION_C3_FULL_UNION_MANIFEST.csv,11828,8134e72d3deeef1a5a8689d262ec6a310317eb94870ba65bf70a1713de422426,c3-cumulative-union-manifest,c140-original-companion-c3-union,text/csv,False,release/94_C140_COMPANION_C3_FULL_UNION_MANIFEST.csv
48,SHA256SUMS_C140_COMPANION_C3.txt,5162,a91fcde8ff68dd5e9ae74ab47cb7a5dda006fa3b8690be379c780be4971e7456,c3-cumulative-union-checksums,c140-original-companion-c3-union,text/plain,False,release/SHA256SUMS_C140_COMPANION_C3.txt
49,95_C140_COMPANION_C3_FULL_UNION_ROOT_RECEIPT.json,23667,9f0535439e08d16a76c63de7cfae7ded5afc23da209dab29bf71ccaf71ac0dcf,c3-cumulative-union-root-receipt,c140-original-companion-c3-union,application/json,False,release/95_C140_COMPANION_C3_FULL_UNION_ROOT_RECEIPT.json
50,05_C140_COMPANION_C4_OFFLINE_READER.zip,923472,92dd5d30f79f47351b1cfaeb2a05ff9b53ca1136e3c48bb6bd67f5481a960291,partial-c4-offline-html-reader,c140-original-companion-c4,application/zip,False,release/05_C140_COMPANION_C4_OFFLINE_READER.zip
51,15_C140_COMPANION_C4_SOURCE_BACKEND.zip,367946,fe8c034a51f9c7a7acc0a764af70ebc4ed0e8e790c591003815abf1a3f723503,partial-c4-resumable-source-backend,c140-original-companion-c4,application/zip,False,release/15_C140_COMPANION_C4_SOURCE_BACKEND.zip
52,25_C140_COMPANION_C4_RELEASE_NOTES.md,1472,a468a26a8f9c1c9bd4245f757f54ba9dbc07f1fc45036bc5cf5e731414dfde1a,partial-c4-scope-status-provenance,c140-original-companion-c4,text/markdown,False,release/25_C140_COMPANION_C4_RELEASE_NOTES.md
53,35_C140_COMPANION_C4_LICENSE.md,642,f8913e62477ebb57d3370abb52469ac54292e2b2053db9a41fa3cb3cb02967f2,partial-c4-component-rights,c140-original-companion-c4,text/markdown,False,release/35_C140_COMPANION_C4_LICENSE.md
54,45_C140_COMPANION_C4_STATIC_QA_EVIDENCE.zip,34431,eac5ffe8f11b41ee4d6f375538d378169653c0c930dc085d618072e935b1d8ba,partial-c4-browser-free-static-qa-evidence,c140-original-companion-c4,application/zip,False,release/45_C140_COMPANION_C4_STATIC_QA_EVIDENCE.zip
