upload_order,filename,bytes,sha256,role,lineage,media_type,primary_reader,source_path
1,00_00_stat415-pengantar-statistika-matematis-id.pdf,20170549,f39c1c438cc3e793fe9522eb11f5b02704d89fcdc7aecb2207a599087d458964,primary-complete-pdf-reader,current-consolidated-readers,application/pdf,True,release/00_00_stat415-pengantar-statistika-matematis-id.pdf
2,00_01_stat415-pengantar-statistika-matematis-id.epub,12301415,e122d65348971b91a5ac0c7a8219e0fa3e0eabedb92d130c661648e399e3c574,secondary-complete-reflowable-reader,current-consolidated-readers,application/epub+zip,False,release/00_01_stat415-pengantar-statistika-matematis-id.epub
3,20_COMPLETE_CONSOLIDATED_READERS_RELEASE_NOTES.md,1142,c7f8f330bf0db8400eb7f164be3b9c9e5bc9ab4b0f8a72638e949be095b41f40,current-scope-status-rights-provenance,current-consolidated-readers,text/markdown,False,release/20_COMPLETE_CONSOLIDATED_READERS_RELEASE_NOTES.md
4,30_COMPLETE_CONSOLIDATED_READERS_LICENSE.md,1515,cea22cdb06aae5db47989d4daebbe3e36b7eac697e23a6726398744a9812a48d,current-component-rights,current-consolidated-readers,text/markdown,False,release/30_COMPLETE_CONSOLIDATED_READERS_LICENSE.md
5,40_COMPLETE_CONSOLIDATED_READERS_QA_EVIDENCE.zip,44505,bdfb9612b64c9a5280d6533b6bf756fd07b7fea0a85755e01d5d69994546945d,compact-current-static-qa-and-labelled-historical-evidence,current-consolidated-readers,application/zip,False,release/40_COMPLETE_CONSOLIDATED_READERS_QA_EVIDENCE.zip
6,00_stat415-id-through-lesson12-offline-reader.zip,17648138,e6c5829452e9d023ae7c54e802673a0e1fb0ddf220716d8f5156f1169ecb01e1,preserved-prior-html-offline-reader,preserved-zenodo-record-22105616,application/zip,False,release/00_stat415-id-through-lesson12-offline-reader.zip
7,10_stat415-id-through-lesson12-source-backend.zip,37621137,510bd0255f1ddbb925f3abb8594b04eac51fa688f0c0f5b184259033e578ada0,preserved-prior-source-backend,preserved-zenodo-record-22105616,application/zip,False,release/10_stat415-id-through-lesson12-source-backend.zip
8,20_THROUGH_LESSON12_RELEASE_NOTES.md,1213,7db90c69118f75e41fef99d0ddd0704471710ff97b1b58957aa8e86a0b36f339,preserved-prior-release-notes,preserved-zenodo-record-22105616,text/markdown,False,release/20_THROUGH_LESSON12_RELEASE_NOTES.md
9,30_THROUGH_LESSON12_LICENSE.md,1515,cea22cdb06aae5db47989d4daebbe3e36b7eac697e23a6726398744a9812a48d,preserved-prior-component-rights,preserved-zenodo-record-22105616,text/markdown,False,release/30_THROUGH_LESSON12_LICENSE.md
10,40_THROUGH_LESSON12_QA_RECEIPT.json,12428,d12c9dcb4293de0ec929cc2d2c330e197d936a86e17e27adc20dede10bef15db,preserved-prior-deterministic-qa,preserved-zenodo-record-22105616,application/json,False,release/40_THROUGH_LESSON12_QA_RECEIPT.json
