row_kind,model_id,term_id,n,p,rank,kappa2_raw,kappa2_scaled,kappa2_xtx_scaled,vif
MODEL,FULL_ADDITIVE_RAW,NA,1030,9,9,106074.57306674,8.71177872,75.89508844,NA
MODEL,REDUCED_NO_SLG_FLY_SP,NA,1030,6,6,38120.36047688,2.22352417,4.94405974,NA
MODEL,FULL_ADDITIVE_LOG_AGE_28,NA,1030,9,9,106093.23801095,8.54118981,72.95192334,NA
MODEL,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,NA,907,9,9,123596.56929862,9.47005812,89.68200083,NA
MODEL,REDUCED_NO_SLG_FLY_SP_SCREEN_UNION_REFIT,NA,907,6,6,39236.99045149,2.00647671,4.02594878,NA
VIF,FULL_ADDITIVE_RAW,CEMENT,NA,NA,NA,NA,NA,NA,7.48894379
VIF,FULL_ADDITIVE_RAW,SLAG,NA,NA,NA,NA,NA,NA,7.27696310
VIF,FULL_ADDITIVE_RAW,FLY_ASH,NA,NA,NA,NA,NA,NA,6.17063432
VIF,FULL_ADDITIVE_RAW,WATER,NA,NA,NA,NA,NA,NA,7.00395670
VIF,FULL_ADDITIVE_RAW,SUPERPLASTICIZER,NA,NA,NA,NA,NA,NA,2.96377575
VIF,FULL_ADDITIVE_RAW,COARSE_AGGREGATE,NA,NA,NA,NA,NA,NA,5.07461700
VIF,FULL_ADDITIVE_RAW,FINE_AGGREGATE,NA,NA,NA,NA,NA,NA,7.00508141
VIF,FULL_ADDITIVE_RAW,AGE,NA,NA,NA,NA,NA,NA,1.11836652
