segment_id,document_id,component_id,section_id,source_sha256,source_text,target_text,status
O006-PSU-012-S0001,O006-PSU-012,Lesson11,,cb4ad503e340ebd1a921e3ed6dcbfc0a80660936d8bfc9d190f70694b9ccb51b,Lessons,,pending
O006-PSU-012-S0002,O006-PSU-012,Lesson11,,82a1329a86f4d45267a5e6bfb19952b94f0fcf88505f592e19d3bfdf7ff90fcf,Bayesian Methods,,pending
O006-PSU-012-S0003,O006-PSU-012,Lesson11,,82a1329a86f4d45267a5e6bfb19952b94f0fcf88505f592e19d3bfdf7ff90fcf,Bayesian Methods,,pending
O006-PSU-012-S0004,O006-PSU-012,Lesson11,,f290b2f6383f0e98c2ee85771b45bb08b4a8145a1171294c776f227310deb7c8,Bayesian,,pending
O006-PSU-012-S0005,O006-PSU-012,Lesson11,,482eb96e7e8d75a707f126ddd0134259e6ae73f11d0163f0b13d143326b369d3,Subjective Probability,,pending
O006-PSU-012-S0006,O006-PSU-012,Lesson11,,3baf0ce1cc6d5e7e23f24a5168a33865e012b03b37aac0390987aa7982904243,Credible Intervals,,pending
O006-PSU-012-S0007,O006-PSU-012,Lesson11,overview,d4b1ea5708dd532930a85188b45aff6f0a3ed458500c7577e0127a538eb0d100,Overview,,pending
O006-PSU-012-S0008,O006-PSU-012,Lesson11,overview,61670aeb1e2bc3dfda008f56dd53e0b84c26f82c79256b0624d4bac572ab717b,"
Fig 11.1: Thomas Bayes
",,pending
O006-PSU-012-S0009,O006-PSU-012,Lesson11,overview,7fd1bfc8556930e534019b0a7299faad8e0d4bdbb8480bf01dcf3952fe87643f,"All of the methods we have developed and used thus far in this course have been developed using what statisticians would call a “frequentist” approach. In this section, we revisit some of those methods using what statisticians would call a “Bayesian” approach. Specifically, we will:",,pending
O006-PSU-012-S0010,O006-PSU-012,Lesson11,overview,cbe72f3cd98f2e2be5f8e43e6a18f0b0cc3bd4a7e7adf95d18de9556974cba5d,learn how a Bayesian would assign probabilities to certain events,,pending
O006-PSU-012-S0011,O006-PSU-012,Lesson11,overview,a450d6d790a738a7149a6fa62f6eb00b46d5d4537c9dd35b0607f2c9ec4ba343,learn how a Bayesian would tackle the estimation of a parameter,,pending
O006-PSU-012-S0012,O006-PSU-012,Lesson11,overview,466e2b989fde831bb3a037f09396b59d19cb172b72d5f0afdbb852c3c387396e,learn how a Bayesian would update the prior information they have about the value of a parameter,,pending
O006-PSU-012-S0013,O006-PSU-012,Lesson11,overview,d4615f6a129fcdb18501b29f099857c107694927fae58a879306b0ac53edeeb7,"In case you are wondering, the picture to the right is that of the Reverend Thomas Bayes, after which the field of Bayesian statistics is aptly named.",,pending
O006-PSU-012-S0014,O006-PSU-012,Lesson11,overview,c8d84b2abec33c2862f66c6cc614d5ebc88e08734036d2986d779e8d72b9450a,"We’d need at least an entire semester, and perhaps more, to truly do any justice to the study of Bayesian statistics. The best we can do in this course is to dabble a bit and in doing so take just a tiny peek at the world through the eyes of a Bayesian. First, we’ll take a look at an example that illustrates how a Bayesian might assign a (subjective) probability to an event given the information he or she has available. Then, we’ll investigate how a Bayesian might estimate a parameter. Finally, we’ll explore how a Bayesian might update the prior information he or she has about the value of a parameter.",,pending
O006-PSU-012-S0015,O006-PSU-012,Lesson11,objectives,eba92953899468e3f79c084370cc455f39c256e77b5277ff480e3384ff9ecc27,Objectives,,pending
O006-PSU-012-S0016,O006-PSU-012,Lesson11,objectives,25aef8be8be2a587942663b20614423b057589f18636ba6d72bd7bf691a84629,"Upon completion of this lesson, you should be able to:",,pending
O006-PSU-012-S0017,O006-PSU-012,Lesson11,objectives,5e3a5422f2cf1d51b7439b18eb8ebfbfc4272468dfbb6d83e4f23b768387e8ff,"Analytically find Bayesian posterior distributions for single parameter models with a given prior distribution, both in situations where data values are given and in situations where the data are seen as unobservable random variables, and",,pending
O006-PSU-012-S0018,O006-PSU-012,Lesson11,objectives,21d766f72edc671352dba01683b973ed5e2b8bcc0ab2d85ac97569fc22c7850b,"Calculate a credible interval for unknown parameter, .",,pending
O006-PSU-012-S0019,O006-PSU-012,Lesson11,subjective-probability,4d403688bc2bbc1852d10d1de71502303880bd937e1a6e463ac8768d26e670cd, Subjective Probability,,pending
O006-PSU-012-S0020,O006-PSU-012,Lesson11,subjective-probability,b7bbf826e291099843085184fb08ebf3a99b6847b6de4dcf2c072669c66b0d72,Let’s go through an example that illustrates how a Bayesian might use available data to assign probabilities to particular events.,,pending
O006-PSU-012-S0021,O006-PSU-012,Lesson11,subjective-probability,123bd03c8dc3be57e2ab3f0c6b7a8729292fb201ec386657e9ea13a3a4f52de7,Example 11.1,,pending
O006-PSU-012-S0022,O006-PSU-012,Lesson11,subjective-probability,eb65fa1e37d981e0a83ea348291a7c05367384a859442eab9d908810abc37427," The following amounts, in dollars, are bet on horses A, B, C, and D to win a local race:",,pending
O006-PSU-012-S0023,O006-PSU-012,Lesson11,subjective-probability,edc5134033662b11f124eb353016838b04709f972e27355d7ed1c5686671e47f,Horse,,pending
O006-PSU-012-S0024,O006-PSU-012,Lesson11,subjective-probability,49e96d7cdf58069cc793555324e2226642f2f7f8bfff4cebe0c11a61eecef60a,Amount,,pending
O006-PSU-012-S0025,O006-PSU-012,Lesson11,subjective-probability,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,A,,pending
O006-PSU-012-S0026,O006-PSU-012,Lesson11,subjective-probability,df7e70e5021544f4834bbee64a9e3789febc4be81470df629cad6ddb03320a5c,B,,pending
O006-PSU-012-S0027,O006-PSU-012,Lesson11,subjective-probability,6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d,C,,pending
O006-PSU-012-S0028,O006-PSU-012,Lesson11,subjective-probability,3f39d5c348e5b79d06e842c114e6cc571583bbf44e4b0ebfda1a01ec05745d43,D,,pending
O006-PSU-012-S0029,O006-PSU-012,Lesson11,subjective-probability,c9b3c38247f744e17dd26fda097d6a9ba9332586b6bdaa038bf8f313a863f2b8,Total,,pending
O006-PSU-012-S0030,O006-PSU-012,Lesson11,subjective-probability,60b6a38aeec28d406fe83fcc86fdd0901f9a2b726fc3cecfafaa8beb0810c3fb,"Determine the payout for winning with a $2 bet on each of the four horses, if the track wants to take 17%, or $17,000, from the amount collected.",,pending
O006-PSU-012-S0031,O006-PSU-012,Lesson11,solution,22927695994eab589c7601a6b15df4d9dc67c5aceb9a74cdb965444b9b8362a6,Solution,,pending
O006-PSU-012-S0032,O006-PSU-012,Lesson11,solution,e74b4bc0936cde70e1f0fc354d8baf5535b3e8bc1872767893db9c909e831570,"The first thing we need to do is to determine the likelihood, that is, probability, that each of the horses wins. We could assign the probabilities based on our own “gut feeling.” Geez…. I think horse A is gonna win today. In general, that’s probably not a good idea. We’d probably be much better served if we used the information we have available, namely the “gut feeling” of all of the bettors! That is, if $38,000 worth of bets came in for Horse D and only $10,000 came in for Horse A, that tells us that more people think that Horse D is going to win than Horse A. It would behoove us, therefore, to use the amounts bet to assign the probabilities. That said, the probability that Horse A will win is then:",,pending
O006-PSU-012-S0033,O006-PSU-012,Lesson11,solution,6766e6f7eb21cb7f479c888f937227892dac9b87e0b33f77527f6c72cae51703,"And, the probability that Horse B will win is:",,pending
O006-PSU-012-S0034,O006-PSU-012,Lesson11,solution,f57f639f83f4902e46e23544aa758dd3c4ec930ea045afa1eae67be42a4ebf75,"And, the probability that Horse C will win is:",,pending
