video_id,document_id,component_id,occurrence,source_url,provider,section_id,parent_unit_id,caption,source_title_attribute,allow,allowfullscreen,loading,sandbox,local_binary,redistributed,disposition
O006-PSU-013-V0001,O006-PSU-013,Lesson12,1,https://www.youtube.com/embed/oAaPR1qVedw,YouTube,least-squares-estimates,O006-PSU-013-U0364,Video 12.1: Proof: Deriving the formulas for the intercept a and slope b,,accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture,true,,,,false,external-provenance-link-only; author offline textual/static equivalent
O006-PSU-013-V0002,O006-PSU-013,Lesson12,2,https://www.youtube.com/embed/pWMp1vhStDE,YouTube,least-squares-estimates,O006-PSU-013-U0372,"Video 12.2: Proof: Deriving formulas for the intercept and slope, Part 2",,accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture,true,,,,false,external-provenance-link-only; author offline textual/static equivalent
O006-PSU-013-V0003,O006-PSU-013,Lesson12,3,https://www.youtube.com/embed/mdzP-v6vl74,YouTube,what-do-a-and-b-estimate,O006-PSU-013-U0406,"Video 12.3: Example: Test scores and GPA, understanding the parameters",,accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture,true,,,,false,external-provenance-link-only; author offline textual/static equivalent
