asset_id,source_reference,official_url,local_path,bytes,sha256,media_type,width,height,license,disposition
O006-PSU-008-A0001,Lesson07_files/figure-html/unnamed-chunk-1-1.png,https://online.stat.psu.edu/stat415/Lesson07_files/figure-html/unnamed-chunk-1-1.png,authority/assets/stat415/lesson07/Lesson07_files/figure-html/unnamed-chunk-1-1.png,51500,261e8fee2ada5d25b3cf92d4fde1825dfcce67f97629120efc6d432b06a89372,image/png,1344,960,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-008-A0002,Lesson07_files/figure-html/unnamed-chunk-6-1.png,https://online.stat.psu.edu/stat415/Lesson07_files/figure-html/unnamed-chunk-6-1.png,authority/assets/stat415/lesson07/Lesson07_files/figure-html/unnamed-chunk-6-1.png,49223,18e14d1763554c43bcc8c31ba57756918ea7e47985abbf840f40ee3842460e65,image/png,1344,960,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
