asset_id,source_reference,official_url,local_path,bytes,sha256,media_type,width,height,view_box,license,disposition
O006-PSU-011-A0001,assets/ht_example1.jpg,https://online.stat.psu.edu/stat415/assets/ht_example1.jpg,authority/assets/stat415/lesson10/assets/ht_example1.jpg,1235994,c6e286a0ddf17d3cce788af2f3e7cd8d4fe42d074118516f67f8d1f012b01f10,image/jpeg,2048,2048,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0002,assets/415_rttailengineer.png,https://online.stat.psu.edu/stat415/assets/415_rttailengineer.png,authority/assets/stat415/lesson10/assets/415_rttailengineer.png,238928,096f21204d5577576a619894a01c48951f945de3577253dab6023a729d7ce8e9,image/png,6075,2617,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0003,assets/STAT-415-SEC-5-02.png,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-5-02.png,authority/assets/stat415/lesson10/assets/STAT-415-SEC-5-02.png,284394,fd35d62eb48313462357ba46d25aed6270c5e0418dd633368a453cd324302dfa,image/png,6075,3482,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0004,assets/415_engineertype1.png,https://online.stat.psu.edu/stat415/assets/415_engineertype1.png,authority/assets/stat415/lesson10/assets/415_engineertype1.png,371865,e8881365c8d47bebe9e6e80a0627d9216215a9c4b6c59c13eba660ef14e41ee3,image/png,7590,2978,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0005,assets/415_engineertype1-B.png,https://online.stat.psu.edu/stat415/assets/415_engineertype1-B.png,authority/assets/stat415/lesson10/assets/415_engineertype1-B.png,431675,81650903aca6ff41a20a8bb18a56c450e2fca646171d9f81dd9448e3219d3430,image/png,7590,3776,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0006,assets/halfemptyglass.jpg,https://online.stat.psu.edu/stat415/assets/halfemptyglass.jpg,authority/assets/stat415/lesson10/assets/halfemptyglass.jpg,4861,e4227d5c12111e31fa2b03ad38dda779c1940baee0c350d47394233d83babbb1,image/jpeg,175,300,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0007,assets/415_engineerpower.png,https://online.stat.psu.edu/stat415/assets/415_engineerpower.png,authority/assets/stat415/lesson10/assets/415_engineerpower.png,1011231,fee17848b6080821d30f96c783dde9631516e81083cb4d44f567852ac8e561eb,image/png,7478,3770,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0008,assets/STAT-415-SEC-5-06.svg,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-5-06.svg,authority/assets/stat415/lesson10/assets/STAT-415-SEC-5-06.svg,4059,f0644653362587911ae2f678568c80941e9cefcc62a093c9a29015c0632e65d7,image/svg+xml,,,0 0 500 305.3,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0009,assets/415_IQpower.png,https://online.stat.psu.edu/stat415/assets/415_IQpower.png,authority/assets/stat415/lesson10/assets/415_IQpower.png,852961,f4f776f7174885294f478aa51691423c591826c0687121744907404741271b69,image/png,7478,2787,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0010,assets/415_IQpowerB.png,https://online.stat.psu.edu/stat415/assets/415_IQpowerB.png,authority/assets/stat415/lesson10/assets/415_IQpowerB.png,933948,96d1ab3d7e043b26fd3df04d9dfc6a54cf476d4c8d9b0fb5e629d7310ae605d0,image/png,8198,2712,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0011,assets/415_IQpowerC.png,https://online.stat.psu.edu/stat415/assets/415_IQpowerC.png,authority/assets/stat415/lesson10/assets/415_IQpowerC.png,938178,8bb3c005528a2813c575edb0cbf199fbc508d43ed40834895b72a29461cecdf3,image/png,8198,2712,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0012,assets/STAT-415-SEC-5-10.svg,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-5-10.svg,authority/assets/stat415/lesson10/assets/STAT-415-SEC-5-10.svg,4235,b4a78d4adb43cb9ed84fc35181208df4b8d3b4fe007f804f9c3f7063f4117120,image/svg+xml,,,0 0 476.83 349.22,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0013,assets/STAT-415-SEC-5-11.svg,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-5-11.svg,authority/assets/stat415/lesson10/assets/STAT-415-SEC-5-11.svg,5240,4f3bc5286c97634bd81a1f6db1ab1e9109e1f090590676beb11bcb26c73d6202,image/svg+xml,,,0 0 476.83 349.22,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0014,assets/415_IQtypeI.png,https://online.stat.psu.edu/stat415/assets/415_IQtypeI.png,authority/assets/stat415/lesson10/assets/415_IQtypeI.png,269540,50b301face607b91dce418704d16a07d3c56ecb771a14d84060d8c4f5b0c383c,image/png,6075,2941,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0015,assets/STAT-415-SEC-5-13 Version 7.png,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-5-13%20Version%207.png,authority/assets/stat415/lesson10/assets/STAT-415-SEC-5-13 Version 7.png,1042181,330c07620cd978ee9eb50b8a8c3c3b3afda9756f5ebc03e461d722d89c2ecf93,image/png,8000,4500,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0016,assets/STAT-415-SEC-5-14.svg,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-5-14.svg,authority/assets/stat415/lesson10/assets/STAT-415-SEC-5-14.svg,4409,4ad7fe521819d6ffbed1298ff5b638beaf3ff440f7dc3ba71d143cb829b01683,image/svg+xml,,,0 0 476.83 349.22,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0017,assets/415_IQtypeIB.png,https://online.stat.psu.edu/stat415/assets/415_IQtypeIB.png,authority/assets/stat415/lesson10/assets/415_IQtypeIB.png,274542,3af8a412f25253065ea738266a54e535e08d70a219e7be3ff2011117a0900406,image/png,6075,2941,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0018,assets/STAT-415-SEC-5-16.svg,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-5-16.svg,authority/assets/stat415/lesson10/assets/STAT-415-SEC-5-16.svg,4436,6908ed8bee319762fb24c5282067b67e6960829c91f9a643080816e2f2d4d8a3,image/svg+xml,,,0 0 476.83 349.22,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0019,assets/STAT-415-SEC-5-17.png,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-5-17.png,authority/assets/stat415/lesson10/assets/STAT-415-SEC-5-17.png,391485,cfd735029345a014871b326b7999013b58512a856deb7f8e0ceed21e02b09a19,image/png,8000,4500,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0020,assets/STAT-415-SEC-5-18.svg,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-5-18.svg,authority/assets/stat415/lesson10/assets/STAT-415-SEC-5-18.svg,3633,11e5b5dd8f8780be30f384d4c7ec57c1e98d0fab17f1f03305feec5448947631,image/svg+xml,,,0 0 637.67 383.03,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0021,assets/STAT-415-SEC-5-19.svg,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-5-19.svg,authority/assets/stat415/lesson10/assets/STAT-415-SEC-5-19.svg,2529,f55fd40a2b22b380a099a79332a0bfc81c4c315786453e70414c8d6493ea373b,image/svg+xml,,,0 0 637.67 321.38,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-011-A0022,assets/STAT-415-SEC-5-20.svg,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-5-20.svg,authority/assets/stat415/lesson10/assets/STAT-415-SEC-5-20.svg,3434,b28e5b35a02b6ae62cb9cbc608c9d2f9861044668d0721dc8fe0d0c207c8b050,image/svg+xml,,,0 0 637.67 383.03,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
