asset_id,source_reference,official_url,local_path,bytes,sha256,media_type,license,disposition
O006-PSU-002-A0001,assets/STAT-415-SEC-3-18-09.svg,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-3-18-09.svg,authority/assets/stat415/lesson01/STAT-415-SEC-3-18-09.svg,1821,375775fae6e23602ebb80a69f1b6bfe187415a932e9bbc608cf1864ad364440c,image/svg+xml,CC BY-NC 4.0,freeze
O006-PSU-002-A0002,assets/stat-415-sec-3-18-10.svg,https://online.stat.psu.edu/stat415/assets/stat-415-sec-3-18-10.svg,authority/assets/stat415/lesson01/stat-415-sec-3-18-10.svg,2693,d6880dd245560b31efe664744a9c953adb77d349002b16fd785f1b7ec39255fa,image/svg+xml,CC BY-NC 4.0,freeze
O006-PSU-002-A0003,assets/stat-415-sec-3-18-11.svg,https://online.stat.psu.edu/stat415/assets/stat-415-sec-3-18-11.svg,authority/assets/stat415/lesson01/stat-415-sec-3-18-11.svg,2688,7c94f0c22d3be28edc7b4fb969d14152543be180df0fa5bf029020912082caab,image/svg+xml,CC BY-NC 4.0,freeze
O006-PSU-002-A0004,assets/stat-415-sec-3-18-12.svg,https://online.stat.psu.edu/stat415/assets/stat-415-sec-3-18-12.svg,authority/assets/stat415/lesson01/stat-415-sec-3-18-12.svg,2690,0e7a00a04750e9da3d55f39b202fc10ca8cfebed000a6aa7cd55f2744bc8a5d8,image/svg+xml,CC BY-NC 4.0,freeze
O006-PSU-002-A0005,assets/STAT-415-SEC-3-18-13.svg,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-3-18-13.svg,authority/assets/stat415/lesson01/STAT-415-SEC-3-18-13.svg,52253,b3fc3f936d4aee619981611d7c0d8797ef7cc8135fe5e40b4e8d4ad9f0849e3f,image/svg+xml,CC BY-NC 4.0,freeze
