asset_id,source_reference,official_url,local_path,bytes,sha256,media_type,width,height,view_box,license,disposition
O006-PSU-010-A0001,assets/tetra_die.png,https://online.stat.psu.edu/stat415/assets/tetra_die.png,authority/assets/stat415/lesson09/assets/tetra_die.png,3044449,48d09d5e1a7ba862fb18001773cefb64aec266f43650b5b0813add8eaff58f5a,image/png,2048,2048,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-010-A0002,Lesson09_files/figure-html/unnamed-chunk-1-1.png,https://online.stat.psu.edu/stat415/Lesson09_files/figure-html/unnamed-chunk-1-1.png,authority/assets/stat415/lesson09/Lesson09_files/figure-html/unnamed-chunk-1-1.png,16784,34806d496364d23810cc800b8e874992b2377bdaa0afede976176a120716d71c,image/png,1344,960,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-010-A0003,Lesson09_files/figure-html/unnamed-chunk-2-1.png,https://online.stat.psu.edu/stat415/Lesson09_files/figure-html/unnamed-chunk-2-1.png,authority/assets/stat415/lesson09/Lesson09_files/figure-html/unnamed-chunk-2-1.png,17808,d8a4214d5a136770a14070329cfd124092eaca710eb7287e2da84fe4e6fb9894,image/png,1344,960,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-010-A0004,assets/STAT-415-SEC-2-03.svg,https://online.stat.psu.edu/stat415/assets/STAT-415-SEC-2-03.svg,authority/assets/stat415/lesson09/assets/STAT-415-SEC-2-03.svg,2181,cdcdea0ed5d30bed29c789ab1dfe6437e64d9c99fa560ba6e7cd4cf459e6044b,image/svg+xml,,,0 0 444.3 309.84,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-010-A0005,assets/ht5.png,https://online.stat.psu.edu/stat415/assets/ht5.png,authority/assets/stat415/lesson09/assets/ht5.png,12102,42089920ac53b068f785e765c4af31187841097fdf811ef52fce71e542189ab7,image/png,386,262,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-010-A0006,assets/ht6.png,https://online.stat.psu.edu/stat415/assets/ht6.png,authority/assets/stat415/lesson09/assets/ht6.png,245769,a094f2e57e9f0867e87ff5d4397bc3b5c222f80c4b9d3bbd7f68d0a4ef13db5e,image/png,6075,3482,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-010-A0007,assets/ht7.png,https://online.stat.psu.edu/stat415/assets/ht7.png,authority/assets/stat415/lesson09/assets/ht7.png,209721,74b43d2ab8873ba123bfb3d1748e3759fa274e8ae3fe3ff5ecddc17dd2f28f08,image/png,6075,3152,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-010-A0008,assets/ht8.png,https://online.stat.psu.edu/stat415/assets/ht8.png,authority/assets/stat415/lesson09/assets/ht8.png,278296,7f8ec0b05f37792f81f60be0b0242aab375bdc4e79fd8454f94e5de5ba6a3a1d,image/png,6075,3152,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-010-A0009,assets/h10.png,https://online.stat.psu.edu/stat415/assets/h10.png,authority/assets/stat415/lesson09/assets/h10.png,230356,bed97e91e72f22150d542f2ea71859dd8698c78e1f784124ba93b16cb1073988,image/png,6075,3152,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
O006-PSU-010-A0010,assets/h11.png,https://online.stat.psu.edu/stat415/assets/h11.png,authority/assets/stat415/lesson09/assets/h11.png,202382,0a738a3904c683d2a30865fafa93e4e06bcc0e2ba01bf3a4fd59b1b7fb176986,image/png,6075,2617,,CC BY-NC 4.0,freeze-authority-and-redistribute-with-page-attribution-and-change-notice
