record_type,scenario_id,denominator_id,prior_id,kappa,model_id,comparison,log_evidence,log_m0,log_m1,log_bf10,bf10,prior_odds_10,posterior_odds_10,posterior_prob_m0,posterior_prob_m1,posterior_loss_a0,posterior_loss_a1,selected_action,conditional_on_model_assumptions,model_assumption_status,status,reason
model,primary,primary_conservative_method_1,beta_2_2,4,M0,,-17.5939056803447,,,,,,,,,,,,true,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,"Proper common Beta(kappa/2,kappa/2) priors under M0 and every M1 cell."
model,primary,primary_conservative_method_1,beta_2_2,4,M1,,-49.6990014068166,,,,,,,,,,,,true,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,"Proper common Beta(kappa/2,kappa/2) priors under M0 and every M1 cell."
comparison,primary,primary_conservative_method_1,beta_2_2,4,,M1_over_M0,,-17.5939056803447,-49.6990014068166,-32.1050957264718,1.14007673944654e-14,1,1.14007673944654e-14,0.999999999999989,1.14007673944652e-14,1.14007673944652e-14,0.999999999999989,M0,true,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,"Proper common Beta(kappa/2,kappa/2) priors under M0 and every M1 cell."
