record_type,scenario_id,denominator_id,prior_id,kappa,cell_id,cell_label,successes,trials,failures,prior_alpha,prior_beta,posterior_alpha,posterior_beta,posterior_mean,posterior_variance,credible_low_95,credible_high_95,credible_mass,threshold,prob_gt_threshold,c10,c01,posterior_loss_a0,posterior_loss_a1,bayes_action,predictive_next_success,predictive_rep_mean,predictive_rep_variance,beta_binomial_mass_sum,interval_symbol_legend,model_assumption_status,status,reason
cell,primary,primary_conservative_method_1,beta_2_2,4,CP02-VHF-2015,VHF — 2015,15,15,0,2,2,17,2,0.894736842105263,0.00470914127423823,0.727056400326632,0.986248784335636,0.95,0.5,0.999927520751953,2,1,0.999927520751953,0.00014495849609375,1,0.894736842105263,13.4210526315789,2.4016620498615,1,circle=Bayes solid; square=Wilson dashed; diamond=Clopper-Pearson dotted,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,Exact conjugate calculation under the working Beta-Binomial model.
cell,primary,primary_conservative_method_1,beta_2_2,4,CP02-VHF-2016,VHF — 2016,32,32,0,2,2,34,2,0.944444444444444,0.00141808475141808,0.850827920343568,0.993003236371691,0.95,0.5,0.999999998952262,2,1,0.999999998952262,2.09547579288483e-09,1,0.944444444444444,30.2222222222222,3.08575241908575,1.00000000000004,circle=Bayes solid; square=Wilson dashed; diamond=Clopper-Pearson dotted,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,Exact conjugate calculation under the working Beta-Binomial model.
cell,primary,primary_conservative_method_1,beta_2_2,4,CP02-VHF-2017,VHF — 2017,19,19,0,2,2,21,2,0.91304347826087,0.00330812854442344,0.771555602332367,0.988794413975849,0.95,0.5,0.999994516372681,2,1,0.999994516372681,1.09672546386719e-05,1,0.91304347826087,17.3478260869565,2.63988657844991,1.00000000000001,circle=Bayes solid; square=Wilson dashed; diamond=Clopper-Pearson dotted,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,Exact conjugate calculation under the working Beta-Binomial model.
cell,primary,primary_conservative_method_1,beta_2_2,4,CP02-VHF-2018,VHF — 2018,25,25,0,2,2,27,2,0.931034482758621,0.00214030915576694,0.816522402455377,0.991229503296473,0.95,0.5,0.999999891966581,2,1,0.999999891966581,2.16066837310791e-07,1,0.931034482758621,23.2758620689655,2.88941736028537,0.999999999999982,circle=Bayes solid; square=Wilson dashed; diamond=Clopper-Pearson dotted,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,Exact conjugate calculation under the working Beta-Binomial model.
cell,primary,primary_conservative_method_1,beta_2_2,4,CP02-VHF-2019,VHF — 2019,24,26,2,2,2,26,4,0.866666666666667,0.00372759856630824,0.726484802107577,0.961105168704561,0.95,0.5,0.99999238178134,2,1,0.99999238178134,1.52364373207092e-05,1,0.866666666666667,22.5333333333333,5.4273835125448,0.999999999999997,circle=Bayes solid; square=Wilson dashed; diamond=Clopper-Pearson dotted,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,Exact conjugate calculation under the working Beta-Binomial model.
cell,primary,primary_conservative_method_1,beta_2_2,4,CP02-PTT-2019,PTT — 2019,17,18,1,2,2,19,3,0.863636363636364,0.0051203736974488,0.696225593086076,0.969511032378484,0.95,0.5,0.999889373779297,2,1,0.999889373779297,0.00022125244140625,1,0.863636363636364,15.5454545454545,3.68666906216313,0.999999999999998,circle=Bayes solid; square=Wilson dashed; diamond=Clopper-Pearson dotted,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,Exact conjugate calculation under the working Beta-Binomial model.
cell,primary,primary_conservative_method_1,beta_2_2,4,CP02-VHF-2020,VHF — 2020,24,24,0,2,2,26,2,0.928571428571429,0.00228712174524982,0.810294382586955,0.990899927057694,0.95,0.5,0.999999791383743,2,1,0.999999791383743,4.17232513427734e-07,1,0.928571428571429,22.2857142857143,2.85432793807178,1.00000000000005,circle=Bayes solid; square=Wilson dashed; diamond=Clopper-Pearson dotted,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,Exact conjugate calculation under the working Beta-Binomial model.
cell,primary,primary_conservative_method_1,beta_2_2,4,CP02-PTT-2020,PTT — 2020,20,21,1,2,2,22,3,0.88,0.00406153846153846,0.730027198442396,0.973440685013751,0.95,0.5,0.999982059001923,2,1,0.999982059001923,3.58819961547852e-05,1,0.88,18.48,3.92344615384615,0.999999999999993,circle=Bayes solid; square=Wilson dashed; diamond=Clopper-Pearson dotted,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,Exact conjugate calculation under the working Beta-Binomial model.
cell,primary,primary_conservative_method_1,beta_2_2,4,CP02-VHF-2021,VHF — 2021,15,16,1,2,2,17,3,0.85,0.00607142857142857,0.668623335543234,0.966173750998235,0.95,0.5,0.999635696411133,2,1,0.999635696411133,0.000728607177734375,1,0.85,13.6,3.49714285714286,1,circle=Bayes solid; square=Wilson dashed; diamond=Clopper-Pearson dotted,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,Exact conjugate calculation under the working Beta-Binomial model.
cell,primary,primary_conservative_method_1,beta_2_2,4,CP02-PTT-2021,PTT — 2021,18,20,2,2,2,20,4,0.833333333333333,0.00555555555555556,0.664110862462879,0.950492354694207,0.95,0.5,0.999755859375,2,1,0.999755859375,0.00048828125,1,0.833333333333333,16.6666666666667,4.88888888888889,1,circle=Bayes solid; square=Wilson dashed; diamond=Clopper-Pearson dotted,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen,ok_conditional,Exact conjugate calculation under the working Beta-Binomial model.
